listing_id,description,room_type,price,nbhood_full,host_name,last_review
14322,Beautiful Apartment in Manhattan!!!,Entire home/apt,$200,"Manhattan, Kips Bay",Francesca,2019-03-25
14377,Williamsburg 1 bedroom Apartment,Entire home/apt,$150,"Brooklyn, Williamsburg",Joanna,2019-06-22
14991,"Great Location, Manhattan Bedroom!",PRIVATE ROOM,$110,"Manhattan, Lower East Side",Bianca,2019-05-18
15220,Best Location in NYC! TIMES SQUARE!,private room,$69,"Manhattan, Hell's Kitchen",Luiz,2019-06-09
15338,Room in Greenpoint Loft w/ Roof,Private room,$49,"Brooklyn, Greenpoint",Andrea,2019-06-04
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt,$180,"Manhattan, SoHo",Ted,2019-06-29
15385,"Very, very cozy place",Private room,$80,"Brooklyn, Williamsburg",Cristina,2019-06-30
15711,2 bedroom - Upper East Side-great for kids,ENTIRE HOME/APT,$250,"Manhattan, Upper East Side",D,2019-03-30
16326,Comfortable 4-bedroom apt in family house.,Entire home/apt,$200,"Brooklyn, Prospect Heights",Dimitri,2019-01-26
16421,Your Heaven in Hells Kitchen,Private room,$52,"Manhattan, Hell's Kitchen",Mark,2019-05-16
16580,"Sunny, Modern room in East Village!",Private room,$80,"Manhattan, East Village",Reka,2019-07-01
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt,$275,"Brooklyn, Williamsburg",Daniel,2019-06-23
16821,Large Room in Amazing East Village Apt,Private room,$99,"Manhattan, East Village",Casey,2019-06-21
16974,SpaHa Loft: Enormous and Bright,Entire home/apt,$225,"Manhattan, East Harlem",Robin,2019-06-23
17092,Cool Room in Hell's Kitchen,Private room,$51,"Manhattan, Hell's Kitchen",Enzo,2019-06-01
17693,"HARLEM, NEW YORK WELCOMES YOU!!",Private room,$65,"Manhattan, Washington Heights",Tye And Etienne,2019-06-18
17747,BLUE TRIM GUEST HOUSE,Private room,$105,"Brooklyn, Clinton Hill",George,2019-06-26
18127,Charming East Village One Bedroom Flat,Entire home/apt,$190,"Manhattan, East Village",Josh,2019-01-02
18152,Manhattan Room,Private room,$200,"Manhattan, Upper East Side",Victoria,2019-07-09
18198,Little King of Queens,Private room,$70,"Queens, Woodside",Justin,2019-05-31
18590,Fort Greene Retreat on the Park,Private room,$95,"Brooklyn, Fort Greene",Blaise,2019-06-16
18728,Beautiful Meatpacking District Loft,Private room,$150,"Manhattan, Chelsea",DAVID And RICK,2019-05-28
18764,Cozy 2 BR in Williamsburg,private room,$145,"Brooklyn, Williamsburg",Lulú,2019-04-22
19159,Spacious luminous apt Upper West NYC,Entire home/apt,$110,"Manhattan, Harlem",Sybilla,2019-03-23
19169,Entire 2 Bedroom - Large & Sunny,Entire home/apt,$285,"Manhattan, Lower East Side",JoLynn,2019-06-30
19282,"Sunny, Spacious Top Floor Haven",Entire home/apt,$130,"Brooklyn, Flatbush",Gaia,2019-06-15
19319,Private room Great Deal at Lower East Side,Private room,$94,"Manhattan, Lower East Side",Ana,2019-04-08
20299,Oh glorious spring!,Private room,$60,"Manhattan, East Village",Edward,2019-06-30
20611,Cozy Bedroom in Williamsburg 3 BR,Private room,$85,"Brooklyn, Williamsburg",Lulú,2019-06-22
20724,Sunny room+Pvte office in huge loft,Private room,$65,"Brooklyn, Bushwick",Augustin,2019-05-26
20734,Spacious Prospect Heights Apartment,Entire home/apt,$131,"Brooklyn, Prospect Heights",Sean & Lynette,2019-06-27
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",private room,$98,"Brooklyn, Clinton Hill",Erica,2019-05-31
20853,2-bed brownstone duplex + garden,Entire home/apt,$250,"Brooklyn, Prospect Heights",Tracy,2019-05-21
21293,Sunny Apartment in Artist Home,ENTIRE HOME/APT,$105,"Brooklyn, Bushwick",Tyrome,2019-06-18
21456,Light-filled classic Central Park,ENTIRE HOME/APT,$140,"Manhattan, Upper West Side",Dana,2019-07-07
21794,COZY QUIET room 4 DOOGLERS!,private room,$98,"Manhattan, Chelsea",Olan,2019-05-01
22918,loft bed - near transportation-15min to times sq,Private room,$60,"Manhattan, Harlem",Ssameer Or Trip,2019-01-03
23135,House On Henry (3rd FLR Suite),Entire home/apt,$175,"Brooklyn, Carroll Gardens",Annette,2019-06-24
23686,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt,$500,"Manhattan, West Village",Ann,2019-05-18
24143,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private room,$101,"Brooklyn, Williamsburg",Seth,2019-05-29
25235,Large 2 Bedroom Great for Groups!,Entire home/apt,$125,"Brooklyn, Bedford-Stuyvesant",Shelly,2019-06-28
25696,"1,800 sq foot in luxury building",Private room,$100,"Manhattan, Harlem",Dena,2019-06-23
26362,"Times Square, Safe, Clean and Cozy!",Private room,$59,"Manhattan, Hell's Kitchen",Luiz,2019-06-16
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room,$125,"Brooklyn, Clinton Hill",Erica,2019-06-02
26969,2 story family home in Williamsburg,Entire home/apt,$325,"Brooklyn, Williamsburg",Alexandra,2019-06-23
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire home/apt,$235,"Manhattan, Upper West Side",Stacy,2019-04-27
27385,Great Large 1 BR apt  in East Village!,Entire home/apt,$225,"Manhattan, East Village",Bruce,2019-06-07
27531,Eveland Private Bed & Living Room w/ Own Entrance,private room,$99,"Brooklyn, South Slope",Evelyn,2019-05-20
27644,Sugar Hill Rest Stop,Entire home/apt,$170,"Manhattan, Harlem",Emma,2019-07-01
27759,apartment next to Central park,entire home/apt,$170,"Manhattan, Upper West Side",Sylvie,2019-06-26
29013,B & B Room 1,Private room,$70,"Brooklyn, Bedford-Stuyvesant",Angela,2019-05-14
29455,ACCOMMODATIONS GALORE #1,entire home/apt,$120,"Manhattan, Harlem",Laurine,2019-06-20
29628,Sunny Room in New Condo,Private room,$89,"Brooklyn, Clinton Hill",Chris,2019-07-03
29683,Stylish & Sleek Apartment Near SoHo!,entire home/apt,$185,"Manhattan, East Village",Uli,2019-06-25
30031,NYC artists‚Äô loft with roof deck,private room,$50,"Brooklyn, Greenpoint",Sol,2019-05-20
30927,Unique & Charming small 1br Apt. LES,Entire home/apt,$105,"Manhattan, Lower East Side",Cs,2019-06-14
31130,Most Central Location!,Private room,$130,"Manhattan, Hell's Kitchen",Lara,2019-05-26
31555,Luminous Beautiful West Village Studio,Entire home/apt,$115,"Manhattan, West Village",Tom,2019-07-01
31902,Sanctuary in East Flatbush,Private room,$77,"Brooklyn, Flatlands",Sunder,2019-01-01
31994,Room with En Suite Bathroom & Deck,Private room,$76,"Brooklyn, Clinton Hill",Waldemar,2019-06-24
32023,FLAT MACDONOUGH,Entire home/apt,$125,"Brooklyn, Bedford-Stuyvesant",Khem,2019-06-23
32037,Huge Private  Floor at The Waverly,Private room,$135,"Brooklyn, Clinton Hill",Sahr,2019-07-01
32965,FLAT MACDONOUGH GARDEN,ENTIRE HOME/APT,$115,"Brooklyn, Bedford-Stuyvesant",Khem,2019-06-20
32969,Light filled Williamsburg Apartment,Entire home/apt,$160,"Brooklyn, Williamsburg",Katherine,2019-07-02
33009,Retreat in Williamsburg,Entire home/apt,$195,"Brooklyn, Williamsburg",Ming,2019-06-17
33014,NYC Zen,Entire home/apt,$195,"Manhattan, East Village",Paula,2019-06-17
33223,Cozy BR in Wiliamsburg 3 Bedroom,private room,$80,"Brooklyn, Williamsburg",Lulú,2019-06-22
34760,Sunny Room in Old Historical Brooklyn Townhouse,Private room,$44,"Brooklyn, Fort Greene",Obed,2019-06-29
35526,Sun Filled Classic West Village Apt,Private room,$156,"Manhattan, West Village",Karen,2019-06-22
36133,Classic Artist Loft Williamsburg,Private room,$125,"Brooklyn, Williamsburg",White,2019-06-13
36703,"Sunny, clean 1 bdrm in W. Village",ENTIRE HOME/APT,$225,"Manhattan, West Village",Karene,2019-03-31
38638,Light and Airy Upper East Side 1 BDR apartment,entire home/apt,$219,"Manhattan, Upper East Side",Sara,2019-06-26
39267,CENTRAL PARK LOFT all for YOU,ENTIRE HOME/APT,$99,"Manhattan, Upper East Side",Marie,2019-06-08
39282,Indie-Chic Share In Williamsburg,PRIVATE ROOM,$69,"Brooklyn, Williamsburg",Gus,2019-05-28
39593,"A room w/ a Manhattan view, longer stay",PRIVATE ROOM,$79,"Queens, Sunnyside",Myung,2019-04-12
39704,"Private, Large & Sunny 1BR w/W&D",entire home/apt,$135,"Brooklyn, Bedford-Stuyvesant",Renée,2019-06-22
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire home/apt,$250,"Brooklyn, Gowanus",Syl,2019-07-06
42580,Parlor Room In Victorian Townhouse,Private room,$70,"Brooklyn, Clinton Hill",Waldemar,2019-06-24
42729,House On Henry (2nd FLR Suite),ENTIRE HOME/APT,$165,"Brooklyn, Carroll Gardens",Annette,2019-06-18
42882,New York room with a view,Private room,$70,"Staten Island, St. George",Newyorkroomwithaview,2019-06-13
43957,Sunny cozy room in Brklyn townhouse,private room,$50,"Brooklyn, Bushwick",Tessa,2019-06-19
44096,Room with a View,PRIVATE ROOM,$40,"Bronx, Highbridge",Waundell,2019-07-04
44212,West Inn 2 - East Village,Private room,$125,"Manhattan, East Village",Bruce,2019-06-23
44221,Financial District Luxury Loft,Entire home/apt,$196,"Manhattan, Financial District",Coral,2019-06-20
44229,BROOKLYN VICTORIAN STYLE SUITE.....,Private room,$110,"Brooklyn, Fort Greene",Carol,2019-06-24
44288,Your own Lovely West Village Studio,entire home/apt,$170,"Manhattan, West Village",Sara,2019-06-01
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire home/apt,$165,"Manhattan, Harlem",Laurine,2019-05-26
45556,"Fort Greene, Brooklyn: Center Bedroom",Private room,$65,"Brooklyn, Fort Greene",Doug,2019-06-30
45910,Beautiful Queens Brownstone! - 5BR,entire home/apt,$350,"Queens, Ridgewood",Mark,2019-05-12
45936,Couldn't Be Closer To Columbia Uni,Private room,$99,"Manhattan, Morningside Heights",Rahul,2019-05-14
45940,Bright Spacious Luxury Condo,Entire home/apt,$200,"Brooklyn, Williamsburg",Miyoung,2019-04-08
46544,Park Slope haven 15 mins from Soho,Entire home/apt,$150,"Brooklyn, Park Slope",Monica,2019-06-05
46723,SAFE  AND BEAUTIFUL ACCOMODATION,PRIVATE ROOM,$90,"Brooklyn, Bedford-Stuyvesant",Marylyn,2019-05-19
46911,Large Room in private Brownstone in Park Slope,Private room,$120,"Brooklyn, Prospect Heights",Kathleen R.,2019-06-24
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room,$75,"Manhattan, Upper East Side",Teresa,2019-06-24
47926,LUX APT IN TIMES SQUARE NEW BUILDING,Entire home/apt,$275,"Manhattan, Hell's Kitchen",Claudia,2019-06-26
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt,$299,"Manhattan, Lower East Side",Shane,2019-06-15
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt,$135,"Brooklyn, South Slope",Laurie,2019-06-22
51485,Lower East Side $57~/night,Private room,$83,"Manhattan, Lower East Side",Erina,2019-06-22
51572,Prime Location in Manhattan,Private room,$123,"Manhattan, Chelsea",Lee,2019-06-18
51850,( F) Excellent/Pvt Rm,Private room,$55,"Queens, Jamaica",Jullett,2019-05-20
53137,"Quiet, sunny Midtown Manhattan apt.",entire home/apt,$195,"Manhattan, Hell's Kitchen",Marlaine,2019-07-01
53477,3 floors of luxury!,ENTIRE HOME/APT,$265,"Queens, Middle Village",Mark,2019-04-27
54158,The Institute‚ÄîHeart of Williamsburg,Entire home/apt,$249,"Brooklyn, Williamsburg",Bob,2019-06-20
54508,Sml Rm in pr Brst  Park Sl great for Med/students,PRIVATE ROOM,$100,"Brooklyn, Prospect Heights",Kathleen R.,2019-06-06
54544,City Room - Private Penthouse Apt.,Entire home/apt,$121,"Manhattan, Harlem",Wayne,2019-06-22
54626,Cozy bedroom by Yankee Stadium,Private room,$45,"Bronx, Highbridge",Waundell,2019-06-30
54860,Great apartment with private bathroom and entrance,Private room,$100,"Manhattan, East Harlem",Jenny,2019-06-23
55467,Private Garden Apt ‚Ä¢ New Renovation,Entire home/apt,$140,"Brooklyn, Williamsburg",Paul,2019-07-02
55498,Modern comfort in art infused landmark Brownstone,Private room,$71,"Brooklyn, Bedford-Stuyvesant",Tami,2019-07-01
55737,Sleek & Comfortable Soho Apt,Entire home/apt,$199,"Manhattan, West Village",Pete,2019-05-19
55959,Spacious Williamsburg Share w/ LOFT BED,Private room,$69,"Brooklyn, Williamsburg",Gus,2019-06-10
56467,Cozy East Village Railroad 1 Bed!,Entire home/apt,$130,"Manhattan, East Village",Leonardo,2019-07-01
56525,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt,$195,"Brooklyn, Greenpoint",Alex,2019-06-13
56859,City Room - Private & Comfy Bedroom,private room,$64,"Manhattan, Harlem",Wayne,2019-06-03
57166,Elegant NYC Pad,Entire home/apt,$140,"Queens, Ditmars Steinway",Vasili,2019-06-17
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt,$159,"Brooklyn, Cobble Hill",S.M.,2019-06-24
57468,"Modern, Large East Village Loft",Entire home/apt,$189,"Manhattan, East Village",Ori,2019-06-23
57618,"Great new apt, close to everything",Entire home/apt,$250,"Manhattan, Hell's Kitchen",Ana,2019-06-09
57740,Quiet & Clean Retreat in the City,Entire home/apt,$239,"Manhattan, East Village",I,2019-05-24
57754,Stylish Large Gramercy Loft!,ENTIRE HOME/APT,$305,"Manhattan, Flatiron District",R,2019-06-30
57874,The Brownstone-Luxury 1 Bd Apt/NYC,ENTIRE HOME/APT,$155,"Manhattan, Harlem",Simon,2019-06-26
58059,PRIVATE Room on Historic Sugar Hill,private room,$60,"Manhattan, Harlem",Agnes,2019-07-03
58062,South Slope Green,Private room,$135,"Brooklyn, Windsor Terrace",Linda,2019-05-17
58467,"17 Flr. Manhattan Views, Nr. Subway",Private room,$120,"Manhattan, Roosevelt Island",Dave,2019-05-08
59014,"Spacious 1BR, Adorable Clean Quiet",Entire home/apt,$150,"Manhattan, Lower East Side",Drica,2019-01-02
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire home/apt,$135,"Brooklyn, Greenpoint",Betty,2019-05-19
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt,$250,"Manhattan, Chinatown",Ricardo & Ashlie,2019-07-01
60164,"Beautiful, elegant 3 bed SOHO loft",Entire home/apt,$500,"Manhattan, SoHo",Harrison,2019-06-23
60457,Spacious Greenwich Village Apt,entire home/apt,$225,"Manhattan, Greenwich Village",Jessica,2019-05-11
60666,City Room - Private Luxury Suite,Private room,$92,"Manhattan, Harlem",Wayne,2019-06-11
60680,The gem of the East Village,Entire home/apt,$99,"Manhattan, East Village",Mich,2019-06-20
60948,ACCOMMODATIONS GALORE #2,Entire home/apt,$140,"Manhattan, East Harlem",Laurine,2019-06-20
61406,Great room in great location,private room,$80,"Manhattan, Harlem",Bethania,2019-06-01
61492,Exclusive Room with Private Bath in  LES,Private room,$120,"Manhattan, Chinatown",Tunji,2019-06-23
61509,"Quiet, clean midtown apt w. elevato",Entire home/apt,$110,"Manhattan, Midtown",Anna/Fonzy,2019-04-30
62095,BK Sweet Suite w/Kitchen&FullBath,Entire home/apt,$65,"Brooklyn, East Flatbush",Colette&Sean,2019-06-14
62427,Great East Village Apartment Rental,Entire home/apt,$130,"Manhattan, East Village",Brie,2019-05-26
62430,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt,$99,"Brooklyn, Bushwick",Sheila,2019-06-22
62452,A SpeciaL!! Private Room in NY,Private room,$36,"Staten Island, Tompkinsville",Lissette,2019-06-25
62461,B NYC Staten Alternative...,Private room,$37,"Staten Island, Tompkinsville",Lissette,2019-06-10
62787,C Private Room By The Ferry,private room,$37,"Staten Island, Tompkinsville",Lissette,2019-07-02
62891,Smallest House In The Village,Entire home/apt,$175,"Manhattan, East Village",Olivia,2019-05-24
62903,Beautiful modern studio apartment in heart of NYC,ENTIRE HOME/APT,$205,"Manhattan, Chelsea",Daniel,2019-06-21
62925,Beautiful Landmarked Duplex,Entire home/apt,$285,"Brooklyn, Greenpoint",Maya,2019-06-16
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room,$59,"Brooklyn, Williamsburg",Scott,2019-06-23
63320,D Private Che@p Room 2 Explore NYC,Private room,$36,"Staten Island, Tompkinsville",Lissette,2019-07-02
63360,Safe cute near subway& Manhattan NY NY retro style,Entire home/apt,$99,"Queens, Astoria",Dennis & Naoko,2019-06-24
63546,Large and Cozy Private Bedroom,Private room,$39,"Brooklyn, Kensington",Antonín,2019-05-16
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire home/apt,$105,"Bronx, Eastchester",Vie,2019-06-27
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt,$135,"Brooklyn, Bedford-Stuyvesant",Renée,2019-06-25
63693,Cottage in the Village,ENTIRE HOME/APT,$390,"Manhattan, East Village",Olivia,2019-06-19
64000,Williamsburg near soho. / loftbed,Private room,$60,"Brooklyn, Williamsburg",Kristian & Di,2019-01-07
64107,BROOKLYN  STUDIO APARTMENT,Private room,$100,"Brooklyn, Crown Heights",Niya,2019-06-24
64277,BEDROOM2 FOR RENT  10min from Manh,PRIVATE ROOM,$70,"Brooklyn, Bedford-Stuyvesant",Helene,2019-01-02
64314,cozy bedroom in lovely garden apt,private room,$110,"Brooklyn, Crown Heights",Debbie,2019-05-26
64365,Crown Heights Garden Apt.,private room,$60,"Brooklyn, Crown Heights",Anthony,2019-06-27
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire home/apt,$90,"Manhattan, Little Italy",Tilly,2019-01-02
64837,ENJOY Downtown NYC!!,private room,$68,"Manhattan, East Village",Edward,2019-06-23
65019,Charming UWS Treehouse Apt,Entire home/apt,$115,"Manhattan, Upper West Side",Claire,2019-07-06
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room,$75,"Brooklyn, Bedford-Stuyvesant",Juhli,2019-01-05
65562,CHARMING EAST VILLAGE 2 (or 1) BR,Entire home/apt,$129,"Manhattan, East Village",Mary D,2019-01-03
65615,Farmhouse Apartment in Williamsburg,Entire home/apt,$130,"Brooklyn, Williamsburg",Valerie,2019-06-29
65660,Bright+Spacious Williamsburg Abode!,Entire home/apt,$95,"Brooklyn, Williamsburg",Larissa,2019-07-07
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",PRIVATE ROOM,$75,"Manhattan, Harlem",Eric,2019-01-02
66008,CHARMING CARROLL GARDENS APT.,Entire home/apt,$190,"Brooklyn, Carroll Gardens",Melissa,2019-07-01
66026,Private Bedroom Brownstone Brooklyn,Private room,$49,"Brooklyn, Crown Heights",Alex,2019-06-30
66251,East Village Loft with Piano & Patio,Entire home/apt,$212,"Manhattan, East Village",Samir,2019-06-25
66275,Lower East Side Magic Room,Private room,$95,"Manhattan, Lower East Side",Tony,2019-06-23
66451,**Fantastic Williamsburg Apt**,entire home/apt,$140,"Brooklyn, Williamsburg",Luis Fernando,2019-02-16
66718,West Harlem Home Base - Eco-Apt.,entire home/apt,$135,"Manhattan, Harlem",Henning,2019-06-23
66741,Charming Garden Apt in Park Slope,Entire home/apt,$150,"Brooklyn, Park Slope",Stefano,2019-06-23
66974,"Lovely, Modern, Garden Apartment",Entire home/apt,$190,"Brooklyn, Gowanus",Jana,2019-07-01
67288,Central Park 1BR sunny condo,Entire home/apt,$124,"Manhattan, East Harlem",Per,2019-06-15
67299,Cozy Garden Apartment  in Williamsburg,Entire home/apt,$135,"Brooklyn, Williamsburg",Adrienne,2019-05-06
67397,SoHa comfort-by NW Central Park!,Private room,$122,"Manhattan, Morningside Heights",Elise,2019-06-22
68099,Cozy room in Upper West Side,Private room,$109,"Manhattan, Upper West Side",Deda,2019-06-25
68403,The Cozy Brownstone Inn (discount)!,entire home/apt,$145,"Brooklyn, Bedford-Stuyvesant",Naimah,2019-06-24
68735,Prewar Penthouse w Private Terrace,ENTIRE HOME/APT,$195,"Manhattan, Upper West Side",Violetta,2019-06-13
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire home/apt,$250,"Brooklyn, Carroll Gardens",Jenna,2019-06-27
68974,Unique spacious loft on the Bowery,ENTIRE HOME/APT,$575,"Manhattan, Little Italy",Alicia,2019-06-20
69894,"Nice renovated apt, prime location!",Entire home/apt,$150,"Manhattan, Upper West Side",Silvia,2019-06-11
69921,Brooklyn Writer's Nook,Private room,$70,"Brooklyn, Bushwick",Joab,2019-06-29
70095,Private Bedroom in Large NYC Apartment,Private room,$90,"Manhattan, Inwood",Mary And Geoff,2019-06-30
70128,"Large, Sunny Room East Village NYC",private room,$65,"Manhattan, East Village",Eyal,2019-01-10
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,ENTIRE HOME/APT,$500,"Manhattan, East Village",Bruce,2019-06-16
71010,All That Jazz. Uptown style on Sugar Hill.,entire home/apt,$250,"Manhattan, Washington Heights",Kurt,2019-05-24
71248,Bright and lovely 1 bdrm apt in LES,Entire home/apt,$125,"Manhattan, Chinatown",Jennifer,2019-06-17
71366,Beautiful One Bed West Village - 4 Month Special,Entire home/apt,$200,"Manhattan, West Village",Ruperto,2019-06-25
71812,Condo Apartment with laundry in unit,entire home/apt,$90,"Bronx, Kingsbridge",Thai,2019-01-02
72190,1BR: See Central Park from Terrace!,entire home/apt,$110,"Manhattan, Upper West Side",Hudson,2019-02-15
72265,Private room in cozy Greenpoint,Private room,$59,"Brooklyn, Greenpoint",Vanessa,2019-06-16
74073,Food & Music Dream Apartment in Williamsburg,Entire home/apt,$195,"Brooklyn, Williamsburg",Daniel,2019-06-23
74240,French Garden cottage off Bedford,ENTIRE HOME/APT,$169,"Brooklyn, Williamsburg",Patty,2019-06-07
74680,One Bedroom Mini studio - Free WIFI,Entire home/apt,$115,"Queens, Astoria",Nazleen,2019-05-31
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Private room,$69,"Brooklyn, Williamsburg",Scott,2019-06-22
75635,Bright Cozy Chinatown Studio Apt.,Entire home/apt,$150,"Manhattan, Lower East Side",Patricia,2019-06-27
76761,Eveland the Place to Stay & Enjoy a 5-‚≠êÔ∏è 2bdrm,Entire home/apt,$169,"Brooklyn, South Slope",Evelyn,2019-06-28
77765,Superior @ Box House,private room,$179,"Brooklyn, Greenpoint",The Box House Hotel,2019-07-01
77936,Hells Kitchen Garden of Eden,private room,$150,"Manhattan, Hell's Kitchen",Moss Owen,2019-06-14
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,Entire home/apt,$350,"Brooklyn, Clinton Hill",Bliss,2019-04-20
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",PRIVATE ROOM,$120,"Brooklyn, Williamsburg",Pam,2019-03-31
80493,Cozy room in East Village with AC,PRIVATE ROOM,$71,"Manhattan, East Village",Jennifer,2019-07-04
